race_no,event_name,category,age_group,round,date,time,event_code,course_length
1,男子シングルスカル,M,G,FA,2025-09-14,09:00,M1X,
2,女子シングルスカル,W,G,FA,2025-09-14,09:08,W1X,
3,男子ダブルスカル,M,G,FA,2025-09-14,09:16,M2X,
4,女子ダブルスカル,W,G,FA,2025-09-14,09:24,W2X,
5,男子クォドルプル,M,G,FA,2025-09-14,09:32,M4X,
6,女子クォドルプル,W,G,FA,2025-09-14,09:40,W4X,
7,男子シングルスカル,M,J,FA,2025-09-14,09:48,M1X,500
8,女子シングルスカル,W,J,FA,2025-09-14,09:56,W1X,500
9,男子シングルスカル,M,G,H,2025-09-14,10:04,M1X,
10,女子シングルスカル,W,G,H,2025-09-14,10:12,W1X,
11,男子ダブルスカル,M,G,H,2025-09-15,09:00,M2X,
12,女子ダブルスカル,W,G,H,2025-09-15,09:08,W2X,
13,男子クォドルプル,M,G,H,2025-09-15,09:16,M4X,
14,女子クォドルプル,W,G,H,2025-09-15,09:24,W4X,
15,男子シングルスカル,M,G,SF,2025-09-15,10:00,M1X,
16,女子シングルスカル,W,G,SF,2025-09-15,10:08,W1X,
17,男子ダブルスカル,M,G,SF,2025-09-15,10:16,M2X,
18,女子ダブルスカル,W,G,SF,2025-09-15,10:24,W2X,
